gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000153	46	18	30	104	0	0	181	33
OG0000154	70	62	62	47	0	0	180	30
OG0000155	40	17	67	71	0	0	179	35
OG0000156	54	18	64	58	0	0	177	30
OG0000157	50	25	89	39	0	0	179	30
OG0000158	58	31	60	55	0	0	174	34
OG0000159	53	15	73	49	0	0	176	30
OG0000160	31	10	118	27	0	0	177	24
OG0000161	21	6	104	51	0	0	177	17
OG0000162	24	0	84	67	0	0	176	29
OG0000163	46	16	39	90	0	0	176	31
OG0000164	38	12	80	56	0	0	175	34
OG0000165	75	40	20	78	0	0	174	35
OG0000166	15	0	108	45	0	0	169	20
OG0000167	45	19	91	36	0	0	173	35
OG0000168	7	2	117	48	0	0	173	26
OG0000169	21	12	92	58	0	0	172	27
OG0000170	38	10	73	60	0	0	172	36
OG0000171	42	9	93	36	0	0	172	24
OG0000172	80	62	55	34	0	0	170	33
OG0000173	65	20	28	76	0	0	170	36
OG0000174	21	8	124	23	0	0	169	25
OG0000175	29	11	56	83	0	0	169	33
OG0000176	16	4	101	51	0	0	169	25
OG0000177	55	11	66	46	0	0	168	36
OG0000178	35	8	90	41	0	0	167	34
OG0000179	55	29	70	41	0	0	167	31
OG0000180	3	1	134	23	0	0	161	13
OG0000182	42	14	65	58	0	0	166	34
OG0000183	40	14	46	78	0	0	165	28
OG0000184	49	18	71	45	0	0	166	36
OG0000185	44	20	105	16	0	0	166	26
OG0000186	30	7	87	46	0	0	164	26
OG0000187	66	26	40	58	0	0	165	36
OG0000188	35	13	25	104	0	0	165	28
OG0000189	88	49	26	49	0	0	164	33
OG0000190	90	19	47	26	0	0	164	36
OG0000191	26	7	115	21	0	0	163	33
OG0000193	19	11	77	64	0	0	161	26
OG0000194	36	11	81	43	0	0	161	29
OG0000195	92	42	21	48	0	0	162	34
OG0000196	48	14	54	57	0	0	160	36
OG0000197	37	9	61	62	0	0	161	35
OG0000198	34	9	56	69	0	0	160	31
OG0000199	15	6	83	62	0	0	161	24
OG0000200	29	4	95	34	0	0	159	30
OG0000201	47	12	45	66	0	0	159	36
OG0000202	23	4	87	47	0	0	158	33
OG0000203	91	23	28	39	0	0	159	36
OG0000204	14	4	72	71	0	0	158	30
OG0000205	83	59	32	41	0	0	157	35
OG0000206	30	12	79	47	0	0	157	30
OG0000207	21	12	98	37	0	0	157	21
OG0000208	22	1	124	7	0	0	154	6
OG0000209	43	20	56	55	0	0	155	35
OG0000210	51	18	58	46	0	0	156	36
OG0000211	83	45	31	40	0	0	155	36
OG0000212	33	12	52	69	0	0	155	32
OG0000213	39	6	31	84	0	0	155	36
OG0000214	35	13	73	46	0	0	155	27
OG0000215	21	9	77	56	0	0	155	29
OG0000216	27	10	78	49	0	0	155	28
OG0000218	35	8	80	38	0	0	154	28
OG0000219	17	2	119	16	0	0	153	23
OG0000220	43	27	81	28	0	0	153	33
OG0000221	15	6	102	35	0	0	153	31
OG0000222	65	20	61	26	0	0	153	35
OG0000223	26	8	88	35	0	0	150	29
OG0000224	24	6	83	42	0	0	150	27
OG0000225	38	23	84	28	0	0	151	33
OG0000226	54	14	62	33	0	0	150	33
OG0000227	8	1	113	28	0	0	150	22
OG0000228	64	27	42	41	0	0	148	35
OG0000229	38	12	74	37	0	0	150	28
OG0000230	13	2	90	46	0	0	150	31
OG0000231	68	32	57	24	0	0	150	36
OG0000232	79	35	21	49	0	0	150	34
OG0000233	60	33	51	37	0	0	149	34
OG0000234	52	27	51	44	0	0	148	33
OG0000235	48	26	82	17	0	0	148	33
OG0000236	49	24	30	67	0	0	147	36
OG0000237	76	43	8	62	0	0	147	36
OG0000238	31	16	46	68	0	0	146	31
OG0000239	30	7	103	12	0	0	146	23
OG0000240	29	3	82	34	0	0	146	35
OG0000241	29	11	76	40	0	0	146	26
OG0000242	42	17	55	47	0	0	145	36
OG0000243	24	9	52	68	0	0	145	30
OG0000244	54	7	58	32	0	0	145	36
OG0000246	37	18	49	57	0	0	144	32
OG0000247	29	17	71	43	0	0	144	28
OG0000248	61	30	51	29	0	0	142	34
OG0000249	47	25	55	39	0	0	142	29
OG0000250	29	4	33	76	0	0	139	24
OG0000251	84	27	37	20	0	0	142	35
OG0000252	35	15	68	37	0	0	141	36
OG0000253	28	7	62	50	0	0	141	36
OG0000254	44	22	55	41	0	0	141	34
OG0000255	56	24	46	38	0	0	141	36
OG0000256	31	8	74	35	0	0	141	31
OG0000257	16	6	87	37	0	0	141	24
OG0000258	0	1	136	3	0	0	140	3
OG0000259	14	2	82	25	0	0	122	19
OG0000260	8	1	103	25	0	0	137	16
OG0000261	22	8	90	25	0	0	138	23
OG0000262	41	14	87	9	0	0	138	22
OG0000263	42	26	59	35	0	0	137	35
OG0000264	44	5	46	46	0	0	137	36
OG0000265	80	33	26	29	0	0	136	36
OG0000266	68	32	28	39	0	0	136	35
OG0000267	67	53	47	20	0	0	135	34
OG0000268	36	10	61	37	0	0	135	36
OG0000269	34	11	45	55	0	0	135	34
OG0000270	54	38	53	27	0	0	135	33
OG0000271	5	2	109	20	0	0	135	17
OG0000272	10	2	115	9	0	0	135	11
OG0000273	84	36	33	16	0	0	134	33
OG0000274	13	3	68	52	0	0	134	22
OG0000275	66	25	32	35	0	0	134	34
OG0000276	69	25	38	26	0	0	134	35
OG0000277	20	7	83	29	0	0	133	30
OG0000279	48	32	37	45	0	0	131	31
OG0000280	35	7	56	39	0	0	131	23
OG0000281	29	3	48	53	0	0	131	29
OG0000282	25	7	60	43	0	0	129	34
OG0000283	14	2	83	31	0	0	129	19
OG0000285	43	8	37	49	0	0	130	36
OG0000286	27	3	44	58	0	0	130	31
OG0000287	12	4	100	17	0	0	130	23
OG0000289	53	26	23	52	0	0	129	33
OG0000290	29	6	21	78	0	0	129	31
OG0000291	63	7	47	17	0	0	128	36
OG0000292	22	5	87	19	0	0	129	28
OG0000293	29	14	48	50	0	0	128	34
OG0000294	46	18	45	36	0	0	128	32
OG0000295	35	11	66	26	0	0	128	30
OG0000296	82	29	20	25	0	0	128	36
OG0000297	44	25	47	35	0	0	127	36
OG0000298	27	12	43	57	0	0	128	29
OG0000299	14	6	99	14	0	0	128	19
OG0000300	12	5	79	35	0	0	127	28
OG0000301	17	4	39	69	0	0	126	30
OG0000302	56	35	36	34	0	0	127	35
OG0000303	36	22	32	58	0	0	127	33
OG0000304	19	2	58	48	0	0	126	25
OG0000305	23	9	66	36	0	0	126	21
OG0000306	25	11	79	20	0	0	125	11
OG0000307	33	8	34	57	0	0	125	35
OG0000308	31	14	75	17	0	0	124	33
OG0000309	51	20	44	28	0	0	124	35
OG0000310	45	11	46	32	0	0	124	36
OG0000311	23	6	71	29	0	0	124	26
OG0000312	53	31	21	49	0	0	124	34
OG0000313	73	17	30	20	0	0	124	36
OG0000314	19	5	42	60	0	0	122	24
OG0000316	37	16	23	62	0	0	123	34
OG0000317	28	17	45	45	0	0	119	29
OG0000318	19	4	72	31	0	0	123	29
OG0000319	60	34	39	23	0	0	123	35
OG0000321	61	18	37	23	0	0	122	36
OG0000322	33	10	35	51	0	0	120	33
OG0000323	9	3	98	14	0	0	122	21
OG0000324	14	6	72	34	0	0	121	21
OG0000325	38	11	30	52	0	0	121	36
OG0000326	31	5	32	56	0	0	120	31
OG0000327	20	5	35	65	0	0	121	29
OG0000328	0	0	118	2	0	0	121	3
OG0000329	46	26	48	25	0	0	120	35
OG0000330	27	17	40	52	0	0	120	27
OG0000331	36	5	65	17	0	0	119	36
OG0000332	50	32	37	32	0	0	120	36
OG0000333	44	18	48	27	0	0	120	32
OG0000334	63	21	33	23	0	0	120	36
OG0000335	0	0	115	3	0	0	119	4
OG0000336	38	22	41	38	0	0	118	28
OG0000337	46	39	35	37	0	0	119	25
OG0000339	21	3	60	36	0	0	118	26
OG0000340	79	26	13	25	0	0	118	36
OG0000341	26	7	47	44	0	0	118	33
OG0000342	50	22	39	28	0	0	118	33
OG0000343	13	6	72	32	0	0	118	26
OG0000344	40	14	26	51	0	0	118	33
OG0000345	19	3	45	53	0	0	118	27
OG0000346	31	7	37	49	0	0	118	35
OG0000347	51	21	32	33	0	0	117	36
OG0000348	40	10	40	36	0	0	117	34
OG0000349	40	27	23	53	0	0	117	26
OG0000350	14	1	82	20	0	0	117	25
OG0000351	49	17	14	52	0	0	116	36
OG0000352	59	50	18	37	0	0	115	34
OG0000353	39	10	53	23	0	0	116	33
OG0000354	61	41	25	29	0	0	116	34
OG0000355	6	0	74	34	0	0	115	19
OG0000356	17	12	61	36	0	0	115	28
OG0000357	18	7	61	35	0	0	115	30
OG0000358	31	32	31	51	0	0	114	30
OG0000359	27	18	58	28	0	0	114	28
OG0000360	51	32	25	37	0	0	114	35
OG0000361	36	7	32	45	0	0	114	27
OG0000362	22	8	45	45	0	0	113	17
OG0000363	34	7	35	43	0	0	113	35
OG0000364	34	7	11	64	0	0	110	36
OG0000365	52	18	31	29	0	0	113	34
OG0000366	23	3	35	53	0	0	112	26
OG0000367	19	9	54	38	0	0	112	31
OG0000368	48	19	21	42	0	0	112	32
OG0000369	34	16	30	47	0	0	112	28
OG0000370	42	29	51	18	0	0	112	28
OG0000371	49	13	43	18	0	0	111	34
OG0000372	48	13	47	16	0	0	112	35
OG0000373	66	28	21	24	0	0	112	36
OG0000374	22	5	55	33	0	0	111	34
OG0000375	8	0	63	40	0	0	112	28
OG0000376	22	13	38	49	0	0	110	28
OG0000377	55	19	32	23	0	0	111	33
OG0000378	29	10	37	45	0	0	112	35
OG0000380	45	19	43	21	0	0	110	32
OG0000381	72	26	18	20	0	0	111	33
OG0000382	41	6	50	18	0	0	110	35
OG0000383	18	1	34	58	0	0	111	28
OG0000384	20	9	68	22	0	0	111	28
OG0000385	15	7	47	48	0	0	111	29
OG0000386	37	19	44	29	0	0	111	33
OG0000387	21	8	51	38	0	0	111	26
OG0000388	22	6	52	34	0	0	109	19
OG0000389	28	8	72	9	0	0	110	28
OG0000390	27	13	40	42	0	0	110	30
OG0000391	29	2	42	38	0	0	110	36
OG0000392	70	37	14	25	0	0	110	33
OG0000393	28	20	56	25	0	0	110	33
OG0000394	59	36	20	30	0	0	110	33
OG0000395	9	4	77	22	0	0	109	20
OG0000397	44	27	35	29	0	0	109	29
OG0000398	19	12	48	41	0	0	109	28
OG0000399	23	0	53	32	0	0	109	34
OG0000400	25	9	78	5	0	0	109	26
OG0000401	26	3	31	51	0	0	109	34
OG0000402	54	9	26	28	0	0	109	35
OG0000403	55	23	21	31	0	0	108	35
OG0000404	58	24	31	18	0	0	108	36
OG0000405	51	28	18	38	0	0	108	35
OG0000406	48	28	34	24	0	0	107	28
OG0000407	29	8	33	42	0	0	105	30
OG0000408	35	5	49	21	0	0	106	35
OG0000409	38	11	52	16	0	0	107	29
OG0000410	54	39	35	17	0	0	107	31
OG0000411	50	22	16	38	0	0	105	30
OG0000412	31	10	63	12	0	0	107	32
OG0000414	59	17	14	32	0	0	106	35
OG0000415	32	16	28	45	0	0	106	31
OG0000416	26	6	42	36	0	0	105	20
OG0000417	10	2	63	32	0	0	106	26
OG0000418	1	0	100	2	0	0	104	3
OG0000419	14	1	35	55	0	0	105	27
OG0000420	36	10	54	14	0	0	105	36
OG0000421	35	6	53	16	0	0	105	35
OG0000422	8	4	54	42	0	0	105	28
OG0000423	22	4	23	59	0	0	105	29
OG0000424	3	2	86	11	0	0	101	10
OG0000425	1	1	97	5	0	0	104	7
OG0000427	26	5	52	24	0	0	103	32
OG0000428	26	4	44	33	0	0	104	35
OG0000429	42	12	32	28	0	0	103	33
OG0000430	23	6	54	26	0	0	104	25
OG0000431	9	0	50	43	0	0	103	28
OG0000432	16	8	82	4	0	0	103	12
OG0000433	48	27	30	24	0	0	103	34
OG0000434	23	2	30	49	0	0	103	30
OG0000435	18	2	46	38	0	0	103	30
OG0000436	41	19	24	36	0	0	102	36
OG0000437	22	9	31	48	0	0	102	31
OG0000439	55	23	17	29	0	0	102	36
OG0000440	63	10	18	20	0	0	102	36
OG0000441	16	5	36	49	0	0	102	22
OG0000442	34	24	44	23	0	0	102	22
OG0000443	24	7	44	30	0	0	99	28
OG0000444	14	3	63	22	0	0	100	21
OG0000445	44	19	28	27	0	0	100	34
OG0000446	17	8	32	51	0	0	101	29
OG0000447	54	12	15	31	0	0	101	36
OG0000448	25	4	60	15	0	0	101	27
OG0000449	28	10	35	37	0	0	101	34
OG0000450	25	14	38	37	0	0	101	26
OG0000451	28	5	25	46	0	0	100	35
OG0000452	8	0	41	44	0	0	94	21
OG0000453	7	2	82	11	0	0	101	10
OG0000454	46	17	33	20	0	0	100	30
OG0000455	46	24	12	41	0	0	100	34
OG0000456	43	21	18	35	0	0	97	34
OG0000457	21	6	48	28	0	0	98	27
OG0000458	38	10	36	25	0	0	100	36
OG0000459	20	15	41	37	0	0	99	21
OG0000460	23	5	58	18	0	0	100	35
OG0000461	19	4	40	40	0	0	100	32
OG0000462	15	0	38	46	0	0	100	29
OG0000463	14	3	56	28	0	0	99	25
OG0000464	21	7	31	47	0	0	100	31
OG0000467	53	25	23	22	0	0	99	35
OG0000468	46	16	17	35	0	0	99	34
OG0000469	60	27	10	28	0	0	99	36
OG0000470	53	14	19	26	0	0	99	36
OG0000471	41	20	45	12	0	0	99	36
OG0000472	50	40	28	20	0	0	99	30
OG0000473	10	4	67	21	0	0	99	24
OG0000474	23	7	56	16	0	0	96	17
OG0000475	33	16	27	37	0	0	98	34
OG0000476	44	8	16	37	0	0	98	35
OG0000477	60	21	14	23	0	0	98	36
OG0000478	12	3	43	42	0	0	98	28
OG0000479	22	8	67	8	0	0	98	19
OG0000480	36	21	15	44	0	0	96	35
OG0000481	30	10	49	17	0	0	97	31
OG0000482	46	13	36	14	0	0	97	34
OG0000483	30	17	50	16	0	0	97	25
OG0000484	40	22	15	40	0	0	96	30
OG0000485	53	11	21	21	0	0	96	35
OG0000486	39	14	29	27	0	0	96	34
OG0000487	54	27	16	24	0	0	95	35
OG0000488	31	0	21	43	0	0	96	25
OG0000489	54	31	9	32	0	0	96	31
OG0000490	49	45	32	14	0	0	96	25
OG0000491	32	12	29	32	0	0	94	31
OG0000492	42	19	19	31	0	0	93	34
OG0000493	24	5	32	37	0	0	94	31
OG0000494	51	18	26	17	0	0	95	30
OG0000495	24	4	48	22	0	0	95	34
OG0000496	23	4	31	40	0	0	95	34
OG0000497	17	3	38	39	0	0	95	29
OG0000498	30	14	20	44	0	0	95	36
OG0000499	40	13	26	28	0	0	95	36
OG0000500	38	34	23	33	0	0	95	18
OG0000501	33	14	44	17	0	0	95	28
OG0000504	31	10	32	30	0	0	94	31
OG0000505	27	6	42	23	0	0	93	34
OG0000506	20	7	46	27	0	0	94	16
OG0000507	40	15	32	21	0	0	94	28
OG0000508	26	12	43	24	0	0	94	30
OG0000509	34	30	26	31	0	0	92	23
OG0000510	41	10	28	24	0	0	94	36
OG0000511	13	5	52	28	0	0	94	25
OG0000512	32	7	30	30	0	0	93	35
OG0000513	41	7	22	29	0	0	93	36
OG0000514	27	5	26	39	0	0	93	34
OG0000515	56	24	24	12	0	0	93	36
OG0000516	24	7	40	28	0	0	93	31
OG0000517	27	8	30	35	0	0	93	26
OG0000518	46	25	31	15	0	0	93	31
OG0000519	18	2	36	36	0	0	91	28
OG0000520	48	16	7	37	0	0	93	36
OG0000521	12	4	67	13	0	0	93	16
OG0000522	29	7	42	21	0	0	93	35
OG0000523	14	8	64	14	0	0	93	14
OG0000524	2	0	82	4	0	0	89	9
OG0000525	26	12	57	9	0	0	93	12
OG0000527	27	8	16	48	0	0	92	35
OG0000528	25	18	45	21	0	0	92	21
OG0000529	35	11	7	49	0	0	92	34
OG0000530	61	37	3	27	0	0	92	34
OG0000531	45	20	19	27	0	0	92	35
OG0000532	43	30	19	29	0	0	92	30
OG0000533	45	31	9	37	0	0	92	33
OG0000534	12	0	31	47	0	0	91	21
OG0000535	41	12	40	10	0	0	92	36
OG0000536	24	6	50	17	0	0	92	33
OG0000537	38	15	24	27	0	0	90	35
OG0000538	35	21	22	34	0	0	92	36
OG0000539	20	7	12	48	0	0	81	27
OG0000540	26	7	39	25	0	0	91	22
OG0000541	11	1	65	15	0	0	92	13
OG0000543	36	16	25	29	0	0	91	36
OG0000544	48	22	29	13	0	0	91	30
OG0000545	12	2	38	40	0	0	91	27
OG0000546	41	18	36	12	0	0	90	35
OG0000547	46	23	14	30	0	0	91	35
OG0000548	28	11	25	37	0	0	91	31
OG0000549	46	21	5	39	0	0	91	36
OG0000550	14	5	30	45	0	0	90	28
OG0000551	21	17	46	23	0	0	91	18
OG0000553	33	13	40	16	0	0	90	27
OG0000554	29	6	32	28	0	0	90	34
OG0000555	34	25	30	24	0	0	89	31
OG0000556	40	47	14	31	0	0	86	34
OG0000557	33	11	30	25	0	0	89	34
OG0000558	55	14	19	15	0	0	90	35
OG0000559	47	27	37	4	0	0	89	27
OG0000560	49	25	22	18	0	0	90	29
OG0000561	56	38	21	12	0	0	90	33
OG0000562	31	11	46	12	0	0	90	30
OG0000563	35	18	19	34	0	0	89	29
OG0000564	35	17	24	30	0	0	90	34
OG0000565	41	27	14	34	0	0	90	29
OG0000566	9	0	72	8	0	0	90	10
OG0000567	8	2	56	24	0	0	89	25
OG0000568	25	3	42	21	0	0	89	34
OG0000569	35	21	20	33	0	0	89	35
OG0000570	38	23	10	38	0	0	87	31
OG0000571	38	23	36	14	0	0	89	34
OG0000572	54	18	11	23	0	0	89	34
OG0000573	41	34	25	20	0	0	87	36
OG0000574	25	10	12	51	0	0	89	36
OG0000575	43	21	20	25	0	0	89	34
OG0000576	59	29	14	15	0	0	89	33
OG0000577	21	9	48	19	0	0	89	25
OG0000578	1	0	84	3	0	0	89	5
OG0000580	45	16	9	33	0	0	88	36
OG0000581	40	18	15	31	0	0	87	35
OG0000582	32	10	8	47	0	0	88	36
OG0000583	16	9	51	20	0	0	88	19
OG0000584	31	11	26	30	0	0	88	35
OG0000585	34	23	32	21	0	0	88	27
OG0000586	36	16	9	42	0	0	88	30
OG0000587	27	15	35	24	0	0	87	24
OG0000588	13	6	49	25	0	0	88	22
OG0000589	6	1	65	16	0	0	88	14
OG0000590	27	10	35	24	0	0	87	27
OG0000591	17	7	46	23	0	0	87	25
OG0000592	23	4	42	21	0	0	87	15
OG0000593	32	13	10	44	0	0	87	26
OG0000594	43	9	29	14	0	0	87	36
OG0000595	44	15	24	18	0	0	87	28
OG0000596	24	11	31	31	0	0	87	27
OG0000597	31	20	28	26	0	0	86	35
OG0000598	37	20	18	30	0	0	86	28
OG0000599	42	22	21	23	0	0	87	34
OG0000600	8	1	58	20	0	0	87	12
OG0000601	5	1	40	41	0	0	87	23
OG0000602	21	3	14	50	0	0	86	27
OG0000603	39	4	20	26	0	0	86	36
OG0000604	42	9	19	24	0	0	86	31
OG0000605	26	10	27	32	0	0	86	32
OG0000606	23	13	32	30	0	0	86	29
OG0000607	28	16	9	46	0	0	84	28
OG0000608	20	10	30	35	0	0	86	28
OG0000609	27	10	21	37	0	0	86	33
OG0000610	7	2	59	19	0	0	86	22
OG0000611	21	19	17	46	0	0	85	28
OG0000612	14	4	16	55	0	0	86	26
OG0000613	21	11	45	19	0	0	86	23
OG0000614	20	12	33	32	0	0	86	24
OG0000615	4	1	63	17	0	0	85	16
OG0000617	21	9	30	33	0	0	85	27
OG0000618	50	17	8	26	0	0	85	35
OG0000619	29	13	45	10	0	0	85	27
OG0000620	27	7	36	21	0	0	85	35
OG0000621	33	8	29	22	0	0	85	35
OG0000622	40	8	33	11	0	0	85	32
OG0000623	38	15	32	14	0	0	85	36
OG0000624	30	18	20	34	0	0	85	31
OG0000625	39	27	19	17	0	0	76	35
OG0000626	42	22	15	27	0	0	85	33
OG0000627	21	6	17	44	0	0	83	33
OG0000628	30	9	24	30	0	0	85	36
OG0000629	14	3	54	16	0	0	85	21
OG0000630	14	0	53	17	0	0	85	17
OG0000631	15	6	45	24	0	0	85	29
OG0000632	32	24	41	11	0	0	85	21
OG0000633	33	10	18	32	0	0	84	34
OG0000634	33	8	26	24	0	0	84	29
OG0000635	46	18	22	15	0	0	84	32
OG0000636	24	7	32	26	0	0	83	33
OG0000637	30	18	20	32	0	0	83	31
OG0000638	33	20	11	39	0	0	84	29
OG0000639	19	4	25	38	0	0	83	28
OG0000640	32	13	40	10	0	0	83	36
OG0000641	23	11	11	48	0	0	83	32
OG0000642	24	8	21	38	0	0	84	29
OG0000643	26	13	12	45	0	0	84	29
OG0000644	43	11	18	21	0	0	83	34
OG0000645	10	2	50	23	0	0	84	22
OG0000646	18	1	19	45	0	0	83	32
OG0000647	19	5	29	33	0	0	82	30
OG0000648	13	2	40	29	0	0	83	22
OG0000649	23	7	29	30	0	0	83	35
OG0000650	25	6	34	23	0	0	83	33
OG0000651	40	25	22	20	0	0	83	31
OG0000652	13	7	35	34	0	0	83	24
OG0000653	31	16	30	21	0	0	83	31
OG0000654	42	11	13	27	0	0	83	35
OG0000655	30	24	21	31	0	0	83	34
OG0000656	34	10	32	16	0	0	83	30
OG0000657	14	4	17	43	0	0	75	30
OG0000658	20	4	22	40	0	0	83	30
OG0000659	47	15	12	23	0	0	83	33
OG0000660	14	9	36	31	0	0	82	21
OG0000661	36	24	27	19	0	0	83	30
OG0000662	8	1	48	25	0	0	82	17
OG0000663	21	6	17	43	0	0	82	32
OG0000664	22	14	30	29	0	0	82	32
OG0000665	13	3	56	12	0	0	82	11
OG0000666	60	11	7	14	0	0	82	36
OG0000667	32	8	24	24	0	0	81	33
